filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00043.au,0.399025482096,0.127310633659,2155.65492264,2372.40360414,5012.019693,0.0871653837316,-109.165355109,100.621500132,-8.61472085507,47.3584750421,-6.55595981432,39.6136148845,-8.51813434853,29.5646724656,-16.5759615279,13.1656343677,-24.2097934307,6.58577405806,-8.6426209947,4.91225860019,-15.4428037708,1.53875036606,-6.73247438417,1.41777406986,-3.9617504698,3.28746026834,blues
blues.00012.au,0.269320021614,0.11907171458,1361.04546733,1567.80459573,2739.62510053,0.0691239206414,-207.208080001,132.799175472,-15.4389855746,60.9867270103,0.725806998733,12.4378276959,1.18383572268,-1.54077944798,-17.8881539081,8.35849613103,-2.45206763021,-0.613248178134,0.384877370355,2.60512792656,-5.18892375075,-9.52745528652,-9.24439404898,-2.84827375103,-1.41870686211,-5.93260695967,blues
blues.00026.au,0.278484461674,0.0769704952836,1198.60766536,1573.30897439,2478.37668026,0.0519875919118,-284.819503841,108.785627727,9.13195612642,51.2590299983,18.1112560953,7.62131689391,8.78174668067,2.37242602592,0.011786518295,2.25041676171,4.20027802938,-3.30373463124,1.60156071225,2.66051656318,3.32345474405,3.25891975856,-4.55110598894,0.493844973529,5.93706562598,3.23154428198,blues
blues.00077.au,0.408875618176,0.243217393756,2206.77124642,2191.4735057,4657.38850408,0.111525780645,-29.0109904086,104.532914075,-30.9742073252,38.1563921189,-7.99116672745,30.8885705704,-20.5978306883,25.8291060818,-12.9535635354,16.9414852021,-12.2653932489,10.7864536861,-10.558812392,6.87770943293,-10.2948575938,6.9678454093,-10.2560995935,0.70501395435,-6.0007220165,1.34895518577,blues
blues.00084.au,0.396258316321,0.235238000751,2061.15073506,2085.15944757,4221.14947529,0.113396895559,-38.9659407655,112.039842698,-31.8170351258,38.2408351674,-6.32041349113,23.331537436,-18.778455931,23.9317955689,-10.9361076851,13.2338513171,-14.381296096,13.3270487716,-10.9216018542,9.79561461572,-5.03127693081,7.20098200991,-6.75496913709,2.66361161793,-4.38042979123,0.414054707357,blues
blues.00094.au,0.376686702753,0.14101780951,1239.33722823,1659.46647038,2517.61810964,0.0509078554325,-206.278431438,126.627467987,10.5852048436,43.2231678634,12.501487519,19.4250019929,0.35738224106,12.7388082278,-4.57233020686,4.05081727935,-4.41395282135,3.65940861808,-1.44848070403,-1.69515018342,-7.15746381944,1.17111389954,-6.22197459678,0.600702590028,-1.60509495071,-0.528773854695,blues
blues.00067.au,0.337922168531,0.129096269608,2258.53841867,2176.03118929,4755.4295779,0.112765002177,-95.4244227767,101.368652171,-20.6824965254,48.6554756318,-30.2586391779,20.8025265066,-18.3037582862,14.1349165388,-12.7875796953,13.4337007973,-14.0723665758,7.72372064304,-19.2241489881,2.85637193425,-9.80944501458,6.91175557515,-11.303163834,8.94070431699,-2.95963889332,-0.975428054175,blues
blues.00036.au,0.233230365688,0.197817638516,1247.24481505,1908.0527219,2620.59248697,0.0369037828947,-200.220731778,116.345180827,18.0607851496,25.2888194045,0.315825212037,24.1767778848,-22.2230798324,11.1831455783,-26.8419128619,-7.64365604,-24.8720356123,-12.0152849728,-17.0092422864,-8.11537634387,-11.9590135105,-12.6179767472,-14.1877812088,-8.20447551471,-15.0247694418,-10.322150111,blues
blues.00002.au,0.363602838496,0.175573036075,1552.48195825,1747.16598496,3040.51494776,0.0763007479925,-90.7543937912,140.459906903,-29.1099652879,31.6890143981,-13.9870360074,25.7547611592,-13.6495859047,11.6292709964,-11.7805889086,9.70644234968,-13.1231114434,5.78926486472,-8.90522443403,-1.08371998986,-9.21835889704,2.45580522978,-7.72690133305,-1.81572385113,-3.43343427177,-2.22682144103,blues
blues.00053.au,0.412500764381,0.16835796833,2171.22174174,1954.38378498,4237.13271197,0.13280229598,-76.717959301,105.75352967,-43.1817554374,60.9458504458,-8.75863103725,21.2270789473,-12.8648455984,18.6038440289,-11.3849386354,14.5417661778,-6.04797045732,12.7269591178,-9.36680939416,1.35085924598,-3.60997229723,6.99760852018,-4.0530075979,-0.271426782122,-3.69609156874,-0.504041438202,blues
blues.00073.au,0.341865035935,0.259713768959,2094.91941962,2158.33596288,4482.44789525,0.100569686653,-30.0945706657,103.732289241,-19.7542398919,56.4047696681,-12.7109899351,20.188002397,-17.3403808627,16.2924345555,-18.4395995218,8.92417500711,-11.6480159222,11.2134719511,-8.84251111661,9.09030209866,-3.5792518239,4.37271432518,-2.83080681839,4.72508888285,0.485058016496,1.47595472196,blues
